target,initiator,asset,amount,premium,referralCode,blockNumber,txHash
0x8adE2816339700fde684e11c4c578123B3A8f765,0x8adE2816339700fde684e11c4c578123B3A8f765,0x2260FAC5E5542a773Aa44fBCfeDf7C193bc2C599,4277984,3850,0,14190425,0xf0cc8e24d40debcbf539662588020a6199320fb353ec51e2a5f7dabf0ea6727b
0x8adE2816339700fde684e11c4c578123B3A8f765,0x8adE2816339700fde684e11c4c578123B3A8f765,0x6B175474E89094C44Da98b954EedeAC495271d0F,1573839388713035459753,1416455449841731913,0,14190434,0x4ae3dd787fe33f57a1ef54392bfdcaf93fe27079abe5182cd115dffcd8882c3f
0x135896DE8421be2ec868E0b811006171D9df802A,0x85348cA0bbF7FB2Ef3B3c215e3B4D34b94CE13ee,0x2260FAC5E5542a773Aa44fBCfeDf7C193bc2C599,104712862,94241,0,14190479,0xabd99939844a382c6866b24be1538cb5197e0791cb7cf0c559506b3ef3d7fd51
0x135896DE8421be2ec868E0b811006171D9df802A,0x18bfE375E16D877918B748a38437065972b76DdF,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,30000000000000000000,27000000000000000,0,14191573,0xecdec3e00550230bac29052f505351a6d064cf963cf19f6094504c8a7827ffe6
0x135896DE8421be2ec868E0b811006171D9df802A,0x18bfE375E16D877918B748a38437065972b76DdF,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,30000000000000000000,27000000000000000,0,14191626,0x2b2a0983bd5193af07d74b5e96909133d946be9b5250f5bbb072538c1e124f98
0x135896DE8421be2ec868E0b811006171D9df802A,0xcda460bb03E11C7E451d01DF1D8307Fb78ce0f4c,0xD533a949740bb3306d119CC777fa900bA034cd52,13293554691001713000000,11964199221901541700,0,14191686,0xf75620b39e706577af16c99fce843947c06766a4f3480418621edfb085dc8558
0x135896DE8421be2ec868E0b811006171D9df802A,0x201A145aE9FdFE2DB4C8b7b30280Fa8ddE9403BC,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,3482424388234898000,3134181949411408,0,14191991,0x26f5b1ff47dd5e89fdd7d145564109463145df00375ae99d23ed724a584bfb52
0x7c0d3Cf3982142EDA2B992e9F912Ac4dEa662258,0xc09d86f59d25E24DF5D6168fE11bE9145D9aF709,0x9f8F72aA9304c8B593d555F12eF6589cC3A579A2,31977267946036822217,28779541151433139,64,14192042,0xcd5f3a384fd5f6842d2ce459e6a00523b15fbd66e47e4ac8f7b9389e5b41860b
0x7c0d3Cf3982142EDA2B992e9F912Ac4dEa662258,0xa95d1E735100b66215B794bE80F12C4775E08a3c,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,4700090377100443588,4230081339390399,64,14192090,0x6f97e2e1b2af1c25f179b62dcc9cc8ac3211b3f6c1750d43485542a0fc0794ab
0x135896DE8421be2ec868E0b811006171D9df802A,0x201A145aE9FdFE2DB4C8b7b30280Fa8ddE9403BC,0xF629cBd94d3791C9250152BD8dfBDF380E2a3B9c,1413151383431748600000,1271836245088573740,0,14192387,0xd108e38f17dba18df3d9e5528f44ecc26d0531fefe284e970474b1ea126d77a8
